plan_id,participant_id,ssn,first_name,last_name,address_1,address_2,city,state,zip,dob,hire_date,term_date,status
PLN-CLEAN-EB,P0008,900440008,Hank,Abbot,108 Elm St,,Springfield,IL,62704,1997-03-12,2008-01-01,,ACTIVE
PLN-CLEAN-EB,P0038,900440038,Hank,Abbot,138 Pine St,,Springfield,IL,62704,1996-03-11,2018-07-15,,ACTIVE
PLN-CLEAN-EB,P0068,900440068,Hank,Abbot,168 Birch St,,Springfield,IL,62704,1986-09-13,2008-01-01,,ACTIVE
PLN-CLEAN-EB,P0098,900440098,Hank,Abbot,198 Maple St,,Springfield,IL,62704,1976-03-15,2018-07-15,,ACTIVE
PLN-CLEAN-EB,P0030,900440030,Drew,Adams,130 Pine St,,Springfield,IL,62704,1988-07-03,2010-07-15,2013-10-27,TERMINATED
PLN-CLEAN-EB,P0060,900440060,Drew,Adams,160 Birch St,,Springfield,IL,62704,1978-01-05,2000-01-01,2004-02-09,TERMINATED
PLN-CLEAN-EB,P0090,900440090,Drew,Adams,190 Maple St,,Springfield,IL,62704,1968-07-07,2010-07-15,2015-06-19,TERMINATED
PLN-CLEAN-EB,P0120,900440120,Drew,Adams,220 Elm St,,Springfield,IL,62704,1958-01-09,2000-01-01,2005-10-01,TERMINATED
PLN-CLEAN-EB,P0021,900440021,Umar,Blake,121 Walnut St,,Springfield,IL,62704,1979-10-22,2001-04-08,,ACTIVE
PLN-CLEAN-EB,P0051,900440051,Umar,Blake,151 Cedar St,,Springfield,IL,62704,1969-04-24,2011-10-22,,ACTIVE
PLN-CLEAN-EB,P0081,900440081,Umar,Blake,181 Oak St,,Springfield,IL,62704,1959-10-26,2001-04-08,,ACTIVE
PLN-CLEAN-EB,P0111,900440111,Umar,Blake,211 Ash St,,Springfield,IL,62704,1989-04-28,2011-10-22,,ACTIVE
PLN-CLEAN-EB,P0013,900440013,Mona,Brown,113 Walnut St,,Springfield,IL,62704,1971-02-14,2013-04-08,,ACTIVE
PLN-CLEAN-EB,P0043,900440043,Mona,Brown,143 Cedar St,,Springfield,IL,62704,1961-08-16,2003-10-22,,ACTIVE
PLN-CLEAN-EB,P0073,900440073,Mona,Brown,173 Oak St,,Springfield,IL,62704,1991-02-18,2013-04-08,,ACTIVE
PLN-CLEAN-EB,P0103,900440103,Mona,Brown,203 Ash St,,Springfield,IL,62704,1981-08-20,2003-10-22,,ACTIVE
PLN-CLEAN-EB,P0026,900440026,Zoe,Chen,126 Maple St,,Springfield,IL,62704,1984-03-27,2006-07-15,,ACTIVE
PLN-CLEAN-EB,P0056,900440056,Zoe,Chen,156 Elm St,,Springfield,IL,62704,1974-09-01,2016-01-01,,ACTIVE
PLN-CLEAN-EB,P0086,900440086,Zoe,Chen,186 Pine St,,Springfield,IL,62704,1964-03-03,2006-07-15,,ACTIVE
PLN-CLEAN-EB,P0116,900440116,Zoe,Chen,216 Birch St,,Springfield,IL,62704,1994-09-05,2016-01-01,,ACTIVE
PLN-CLEAN-EB,P0004,900440004,Dev,Cole,104 Birch St,,Springfield,IL,62704,1962-05-05,2004-01-01,,ACTIVE
PLN-CLEAN-EB,P0034,900440034,Dev,Cole,134 Maple St,,Springfield,IL,62704,1992-11-07,2014-07-15,,ACTIVE
PLN-CLEAN-EB,P0064,900440064,Dev,Cole,164 Elm St,,Springfield,IL,62704,1982-05-09,2004-01-01,,ACTIVE
PLN-CLEAN-EB,P0094,900440094,Dev,Cole,194 Pine St,,Springfield,IL,62704,1972-11-11,2014-07-15,,ACTIVE
PLN-CLEAN-EB,P0009,900440009,Ivy,Diaz,109 Oak St,,Springfield,IL,62704,1967-10-10,2009-04-08,,ACTIVE
PLN-CLEAN-EB,P0039,900440039,Ivy,Diaz,139 Ash St,,Springfield,IL,62704,1997-04-12,2019-10-22,,ACTIVE
PLN-CLEAN-EB,P0069,900440069,Ivy,Diaz,169 Walnut St,,Springfield,IL,62704,1987-10-14,2009-04-08,,ACTIVE
PLN-CLEAN-EB,P0099,900440099,Ivy,Diaz,199 Cedar St,,Springfield,IL,62704,1977-04-16,2019-10-22,,ACTIVE
PLN-CLEAN-EB,P0017,900440017,Quinn,Dunn,117 Oak St,,Springfield,IL,62704,1975-06-18,2017-04-08,,ACTIVE
